417,NTPC,INE733E01010,368.4,11.89
418,JIOFIN,INE758E01017,323.25,20
419,PIDILITIND,INE318A01026,2986.2,20
420,RENUKA,INE087H01022,39.96,20
421,GANECOS,INE845D01014,2285.2,20
422,LICI,INE0J1Y01017,905.05,20
423,PPLPHARMA,INE0DK501011,250.3,20
424,JINDALSAW,INE324A01032,305.4,20
425,JBCHEPHARM,INE572A01036,1754.5,20
426,UNITDSPR,INE854D01024,1486.1,20
427,SGBNOV26,IN0020180314,7900,10
428,SGBSEP28VI,IN0020200195,8047.14,10
429,RELAXO,INE131B01039,627.85,20
430,SGBDEC25,IN0020170125,8151,10
431,JAMNAAUTO,INE039C01032,99.44,20
432,MANGLMCEM,INE347A01017,805.95,20
433,BAJAJHFL,INE377Y01014,129.34,20
434,CMSINFO,INE925R01014,484.4,20
435,MUTHOOTMF,INE046W01019,187.12,20
436,ARVINDFASN,INE955V01021,570.85,20
437,SBICARD,INE018E01016,694.75,20
438,TEGA,INE011K01018,1716.2,20
439,LOWVOLIETF,INF109KC19U5,21.23,6.84
440,PHOENIXLTD,INE211B01039,1670.75,20
441,AUROPHARMA,INE406A01037,1241.75,20
442,CERA,INE739E01017,7038.6,20
443,VPRPL,INE0AE001013,274,20.05
444,GATEWAY,INE079J01017,83.13,20
445,SUPRAJIT,INE399C01030,443.4,20
446,ORIENTPPR,INE592A01026,37.91,20
447,TBOTEK,INE673O01025,1536.3,20
448,AVANTEL,INE005B01027,155.25,20
449,HINDUNILVR,INE030A01027,2471.45,9
450,LUPIN,INE326A01037,2107.15,20
451,TIRUMALCHM,INE338A01024,322.5,20
452,ITBEES,INF204KB15V2,46.97,20
453,ALPL30IETF,INF109KC17V7,28.68,6
454,VRLLOG,INE366I01010,542.9,20
455,SETFGOLD,INF200KA16D8,66.31,20
456,MIDCAPETF,INF769K01IC9,21.01,6.39
457,SUDARSCHEM,INE659A01023,989.45,20
458,KSB,INE999A01023,828.5,20
459,LAURUSLABS,INE947Q01028,532.05,20
460,SUPREMEIND,INE195A01028,4609.05,20
461,LTIM,INE214T01019,6115.25,20
462,SYMPHONY,INE225D01027,1348.5,20
463,SGBOCT26,IN0020180249,8032,10
464,HINDOILEXP,INE345A01011,186.73,20
465,MON100,INF247L01AP3,173.48,6.98
466,VIPIND,INE054A01027,499,20
467,SUPRIYA,INE07RO01027,793.2,20.1
468,PTC,INE877F01012,168.02,20
469,HDFCAMC,INE127D01025,4343.45,20
470,JUSTDIAL,INE599M01018,1116.15,20
471,GOLD1,INF174KA1HJ8,64.87,20
472,ACE,INE731H01025,1255.4,20.45
473,SGBJ28VIII,IN0020190537,8087,10
474,LIQUIDETF,INF740KA1EU7,1000,5
475,UJJIVANSFB,INE551W01018,32.9,20
476,KALYANKJIL,INE303R01014,699.4,20
477,SYRMA,INE0DYJ01015,555.9,20
478,SPANDANA,INE572J01011,367.3,20
479,BALRAMCHIN,INE119A01028,536.1,20
480,PATELENG,INE244B01030,52.42,20.99
481,TATAELXSI,INE670A01012,6791.4,20
482,SGBMAR31IV,IN0020220169,8165.57,10
483,DBL,INE917M01012,445.25,20
484,SGBJAN30IX,IN0020210236,8093.66,10
485,PNBHOUSING,INE572E01012,866.3,20
486,PSUBNKBEES,INF204KB16I7,75.52,20
487,ADANIPORTS,INE742F01042,1166.8,17.54
488,HINDZINC,INE267A01025,498.5,20
489,ORCHPHARMA,INE191A01027,1516.2,20
490,NYKAA,INE388Y01029,168.05,20
491,JISLJALEQS,INE175A01038,68.91,22.68
492,J&KBANK,INE168A01041,97.25,20
493,SGBSEP29VI,IN0020210145,8070,10
494,PSB,INE608A01012,48.82,20.47
495,KIMS,INE967H01025,596.7,20
496,VIJAYA,INE043W01024,1154.95,20
497,BANCOINDIA,INE213C01025,1130.25,22.01
498,METROPOLIS,INE112L01020,2118.1,20
499,TTKPRESTIG,INE690A01028,861.5,20
500,HGINFRA,INE926X01010,1337.2,20
501,PCBL,INE602A01031,394.4,20
502,TATACOMM,INE151A01013,1784.1,20
503,PITTIENG,INE450D01021,1390.25,20
504,GROWWLIQID,INF666M01IP5,101.13,5
505,ATGL,INE399L01023,600.4,20.84
506,DATAPATTNS,INE0IX101010,2312.15,20.27
507,RAINBOW,INE961O01016,1633.85,20
508,TEXRAIL,INE621L01012,202.81,22.59
509,SUNDRMFAST,INE387A01021,1132.45,20
510,ASHOKLEY,INE208A01029,234.91,20
511,AMBER,INE371P01015,6534.95,20
512,VESUVIUS,INE386A01015,5267.25,20
513,GSPL,INE246F01010,339.6,20
514,SGBDC27VII,IN0020190461,8200,10
515,TATAMOTORS,INE155A01022,796.6,11.77
516,SGBNOV25IX,IN0020170117,7808.33,10
517,ASKAUTOLTD,INE491J01022,447.35,20
518,FORCEMOT,INE451A01017,6960.55,23.24
519,BATAINDIA,INE176A01028,1321.5,20
520,INFIBEAM,INE483S01020,25.77,20
521,ORIENTELEC,INE142Z01019,229.23,20
522,CSBBANK,INE679A01013,303.05,20
523,MOLDTKPAC,INE893J01029,675,20
524,JKCEMENT,INE823G01014,4215.55,20
525,WABAG,INE956G01038,1680.3,20
526,KRN,INE0Q3J01015,784.55,20
527,AVANTIFEED,INE871C01038,579.05,20
528,ASHOKA,INE442H01029,233.06,20
529,RATNAMANI,INE703B01027,3527.4,20
530,POLYMED,INE205C01021,3002.35,20
531,COROMANDEL,INE169A01031,1795.45,20
532,CIEINDIA,INE536H01010,464.55,20
533,SGBDEC26,IN0020180389,8400,10
534,GLENMARK,INE935A01035,1490.4,20
535,SAMHI,INE08U801020,185.04,20
536,LT,INE018A01030,3753,10.66
537,STARHEALTH,INE575P01011,474.7,20
538,AXISBANK,INE238A01034,1155.9,9.69
539,RAILTEL,INE0DD101019,396.85,23.89
540,JSWENERGY,INE121E01018,675.05,20
541,ELECTCAST,INE086A01029,144.93,21.56
542,CAPACITE,INE264T01014,392.35,20
543,BSE,INE118H01025,4686.8,23
544,IPCALAB,INE571A01038,1607.15,20
545,FDC,INE258B01022,494.2,20
546,CENTRALBK,INE483A01010,56.71,20
547,DBREALTY,INE879I01012,164,24.82
548,HINDPETRO,INE094A01015,376.85,20
549,BAJFINANCE,INE296A01024,6685.4,10.33
550,NLCINDIA,INE589A01014,260.2,20.7
551,SURYAROSNI,INE335A01020,564.55,20
552,LTGILTBEES,INF204KB1882,26.9,10
553,KESORAMIND,INE087A01019,218.95,20
554,INGERRAND,INE177A01018,4655.5,20
555,ABBOTINDIA,INE358A01014,27758.2,20
556,PARADEEP,INE088F01024,106.4,20
557,DEN,INE947J01015,43.9,20
558,SCI,INE109A01011,223.06,22.39
559,IOC,INE242A01010,136.4,20
560,OBEROIRLTY,INE093I01010,1946.85,20
561,BALKRISIND,INE787D01026,2745.75,20
562,IEX,INE022Q01020,166.46,20
563,EMBDL,INE069I01010,122.07,23.41
564,ENDURANCE,INE913H01037,2399.95,20
